1,1,3
1,2,3
1,3,3
1,4,3
1,5,1
1,6,1
1,7,3
1,8,3
1,9,3
1,10,3
1,11,1
1,12,1
1,14,3
1,15,3
1,16,1
1,17,3
1,18,3
1,19,3
1,20,3
1,21,1
1,22,1
1,23,3
1,24,1
1,25,3
1,26,3
1,27,3
1,30,3
2,1,1
2,2,1
2,3,1
2,4,2
2,5,1
2,6,1
2,7,1
2,8,1
2,9,1
2,10,1
2,11,1
2,12,1
2,14,2
2,15,2
2,16,1
2,17,1
2,18,1
2,19,1
2,20,1
2,21,1
2,22,1
2,23,1
2,24,1
2,25,1
2,26,1
2,27,1
2,30,1
3,1,3
3,2,3
3,3,3
3,4,3
3,5,1
3,6,3
3,7,3
3,8,3
3,9,3
3,10,3
3,11,1
3,12,3
3,14,3
3,15,3
3,16,3
3,17,3
3,18,1
3,19,3
3,20,3
3,21,3
3,22,1
3,23,2
3,24,3
3,25,2
3,26,3
3,27,3
3,30,3
4,1,1
4,2,3
4,3,1
4,4,1
4,5,3
4,6,1
4,7,3
4,8,3
4,9,3
4,10,1
4,11,3
4,12,3
4,14,1
4,15,3
4,16,1
4,17,3
4,18,3
4,19,1
4,20,3
4,21,3
4,22,1
4,23,3
4,24,1
4,25,3
4,26,1
4,27,3
4,30,3
5,1,3
5,2,3
5,3,3
5,4,3
5,5,3
5,6,3
5,7,3
5,8,3
5,9,3
5,10,3
5,11,3
5,12,3
5,14,3
5,15,3
5,16,3
5,17,3
5,18,3
5,19,3
5,20,3
5,21,3
5,22,3
5,23,3
5,24,3
5,25,3
5,26,3
5,27,3
5,30,3
6,1,1
6,2,1
6,3,1
6,4,1
6,5,1
6,6,1
6,7,1
6,8,1
6,9,1
6,10,1
6,11,1
6,12,1
6,14,1
6,15,1
6,16,1
6,17,1
6,18,1
6,19,1
6,20,1
6,21,1
6,22,1
6,23,1
6,24,1
6,25,1
6,26,1
6,27,1
6,30,1
7,1,1
7,2,1
7,3,1
7,4,1
7,5,1
7,6,1
7,7,1
7,8,1
7,9,1
7,10,1
7,11,1
7,12,1
7,14,1
7,15,1
7,16,1
7,17,1
7,18,1
7,19,1
7,20,1
7,21,1
7,22,1
7,23,1
7,24,1
7,25,1
7,26,1
7,27,1
7,30,1
8,1,1
8,2,3
8,3,1
8,4,1
8,5,1
8,6,1
8,7,1
8,8,1
8,9,1
8,10,1
8,12,2
8,14,1
8,15,1
8,16,1
8,17,1
8,18,1
8,19,1
8,20,1
8,21,1
8,22,1
8,23,1
8,24,1
8,25,1
8,26,1
8,27,1
8,30,1
9,1,1
9,2,1
9,3,1
9,4,3
9,5,3
9,6,3
9,7,1
9,8,1
9,9,3
9,10,1
9,11,1
9,12,1
9,14,1
9,15,3
9,16,1
9,17,3
9,18,1
9,19,3
9,20,3
9,21,1
9,22,2
9,23,2
9,24,1
9,25,3
9,26,3
9,27,3
9,30,1
10,1,3
10,2,3
10,3,3
10,4,3
10,5,3
10,6,3
10,7,3
10,8,3
10,9,3
10,10,3
10,11,3
10,12,3
10,14,3
10,15,3
10,16,3
10,17,3
10,18,3
10,19,3
10,20,3
10,21,3
10,22,3
10,23,3
10,24,3
10,25,3
10,26,3
10,27,3
10,30,3
11,1,3
11,2,3
11,3,2
11,4,1
11,5,1
11,6,3
11,7,3
11,8,3
11,9,3
11,10,3
11,11,3
11,12,1
11,14,3
11,15,3
11,16,3
11,17,3
11,18,1
11,19,1
11,20,3
11,21,3
11,22,3
11,23,3
11,24,3
11,25,3
11,26,1
11,27,3
11,30,1
12,1,1
12,2,1
12,3,1
12,4,1
12,5,1
12,6,1
12,7,3
12,8,3
12,9,3
12,10,1
12,11,1
12,12,3
12,14,1
12,15,3
12,16,3
12,17,3
12,18,1
12,19,1
12,20,1
12,21,3
12,22,3
12,23,1
